City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
286,Muros,42.7762,-9.0603,81.09,61,100,1.45,ES,overcast clouds
287,Pinawa,50.1489,-95.8811,69.39,81,100,5.26,CA,overcast clouds
288,Kibaya,-5.3,36.5667,57.18,83,29,6.64,TZ,scattered clouds
289,Porto Novo,6.4965,2.6036,75.87,87,99,8.12,BJ,overcast clouds
290,Salinopolis,-0.6136,-47.3561,80.73,82,94,12.15,BR,overcast clouds
291,Katsuura,35.1333,140.3,75.22,93,100,6.26,JP,light rain
292,Kuzino,57.0224,59.4412,62.83,93,100,0.6,RU,overcast clouds
293,Asfi,32.2994,-9.2372,70.65,86,10,12.8,MA,clear sky
294,Pedasi,7.5333,-80.0333,84.07,74,100,2.37,PA,overcast clouds
295,El Molino,10.6523,-72.924,95.36,35,59,8.39,CO,broken clouds
296,Rushden,52.2914,-0.5992,66.79,46,63,1.99,GB,broken clouds
297,Vila Velha,-20.3297,-40.2925,71.55,92,75,5.75,BR,broken clouds
298,Luderitz,-26.6481,15.1594,64.9,41,0,10.07,NA,clear sky
299,Mouila,-1.8685,11.0559,78.82,61,47,5.17,GA,scattered clouds
300,Hovd,48.0056,91.6419,54.61,53,77,3.87,MN,light rain
301,Lesozavodsk,45.4794,133.4244,63.55,95,100,7.65,RU,overcast clouds
302,Upernavik,72.7868,-56.1549,40.03,87,16,14.12,GL,few clouds
303,Shetpe,44.1667,52.1167,87.26,29,75,4.45,KZ,broken clouds
304,Kaeo,-35.1,173.7833,52.32,96,100,4.92,NZ,overcast clouds
305,Muzhi,65.3667,64.6667,64.13,84,45,4.99,RU,scattered clouds
306,Cravo Norte,6.3017,-70.2041,86.11,62,96,7.38,CO,overcast clouds
307,Peniche,39.3558,-9.3811,77.07,86,78,9.6,PT,broken clouds
308,Renqiu,38.6989,116.0936,78.94,66,26,2.19,CN,scattered clouds
309,Jawhar,2.7809,45.5005,75.72,81,13,15.3,SO,few clouds
310,Dunedin,-45.8742,170.5036,43.81,79,100,11.01,NZ,overcast clouds
311,Sao Joao Da Barra,-21.6403,-41.0511,72.61,82,3,12.19,BR,clear sky
312,Ust-Barguzin,53.45,108.9833,52.86,100,100,2.55,RU,overcast clouds
313,Talnakh,69.4865,88.3972,52.95,72,100,2.35,RU,overcast clouds
314,Teya,60.3778,92.6267,48.49,82,100,2.3,RU,overcast clouds
315,Olafsvik,64.8945,-23.7142,50.7,73,76,1.86,IS,broken clouds
316,Moyobamba,-6.05,-76.9667,83.95,48,8,3.18,PE,clear sky
317,Goure,13.9835,10.2704,90.01,28,43,9.17,NE,scattered clouds
318,Norman Wells,65.282,-126.8329,47.46,79,100,11.16,CA,overcast clouds
319,Ranir Bazar,23.8333,91.3667,79.54,91,100,6.35,IN,light rain
320,Uricani,45.3373,23.1524,63.07,57,32,2.77,RO,scattered clouds
321,Sorong,-0.8833,131.25,77.22,90,100,9.26,ID,overcast clouds
322,Luanda,-8.8368,13.2343,69.8,88,20,6.91,AO,few clouds
323,Dingle,10.9995,122.6711,75.47,92,71,1.19,PH,light rain
324,Klichka,50.4457,117.996,59.43,98,100,4.16,RU,overcast clouds
325,Clyde River,70.4692,-68.5914,51.06,57,26,2.8,CA,scattered clouds
326,Usinsk,65.9939,57.5281,71.91,57,77,8.43,RU,broken clouds
327,Comodoro Rivadavia,-45.8667,-67.5,39.24,74,100,10.38,AR,overcast clouds
328,Tuatapere,-46.1333,167.6833,40.78,95,100,3.29,NZ,overcast clouds
329,Jilib,0.4883,42.7854,73.87,90,52,8.63,SO,light rain
330,Moncton,46.1159,-64.8019,70.32,82,100,8.05,CA,shower rain
331,Codrington,-38.2667,141.9667,43.12,98,41,9.19,AU,scattered clouds
332,Babu,24.4167,111.5167,78.94,84,44,1.79,CN,scattered clouds
333,Hutchinson,38.0608,-97.9298,103.51,26,0,17.27,US,clear sky
334,Lata,40.1629,-8.3327,82.08,45,95,2.42,PT,overcast clouds
335,Bermejo,-32.8833,-68.8,53.31,35,100,9.13,AR,overcast clouds
336,Okhotsk,59.3833,143.3,59.97,94,80,2.86,RU,broken clouds
337,Lerwick,60.1545,-1.1494,51.8,88,77,13.29,GB,light rain
338,Olga,43.7444,135.2892,61.84,99,100,15.12,RU,overcast clouds
339,Chingirlau,51.095,54.0814,79.9,43,100,10.25,KZ,overcast clouds
340,Mount Gambier,-37.8333,140.7667,43.75,99,62,6.08,AU,broken clouds
341,Hualmay,-11.0964,-77.6139,65.57,70,50,13.94,PE,scattered clouds
342,Baykit,61.67,96.37,50.72,90,100,1.16,RU,overcast clouds
343,Buzmeyin,38.0507,58.2056,89.35,17,0,3.36,TM,clear sky
344,Coihaique,-45.5752,-72.0662,34.52,91,97,3.78,CL,overcast clouds
345,Praia,14.9215,-23.5087,76.14,72,20,12.37,CV,few clouds
346,Homer,59.6425,-151.5483,56.77,93,100,5.99,US,overcast clouds
