City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
351,Harper,LR,75.56,overcast clouds,4.375,-7.7169,Screensaver
353,Lakatoro,VU,77.45,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
354,Cedar City,US,89.4,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
355,Hauterive,FR,84.96,clear sky,46.0901,3.4459,Aletti Palace Hotel
358,Sandorfalva,HU,81.14,overcast clouds,46.3609,20.0989,Platán Szálláshely
362,Meulaboh,ID,76.08,broken clouds,4.1363,96.1285,Kost Pria
366,Caucaia,BR,80.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
367,Kikwit,CD,78.64,few clouds,-5.041,18.8162,HOTEL PLACE YALABA
369,Pemba,MZ,76.14,broken clouds,-12.974,40.5178,Guesthouse Samotina
376,Manaus,BR,86.49,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
377,Waddan,LY,79.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
381,Praia Da Vitoria,PT,75.76,broken clouds,38.7333,-27.0667,Hotel Branco I
383,Flin Flon,CA,79.95,clear sky,54.7682,-101.865,Victoria Inn Flin Flon
385,Tahta,EG,86.76,clear sky,26.7693,31.5021,فندق الزيات
387,Esfahan,IR,78.44,clear sky,32.6572,51.6776,Abbasi Hotel
399,Naze,JP,79.11,overcast clouds,28.3667,129.4833,Shishime Hotel
403,Morant Bay,JM,88.72,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
405,Manbij,SY,83.41,clear sky,36.5281,37.9549,Manbej City Hotel
413,Ouargaye,BF,88.12,light rain,11.5033,0.0572,Résidence le Cotonnier
417,Sindou,BF,79.03,broken clouds,10.6667,-5.1667,LERABA HOTEL
418,Xucheng,CN,80.71,broken clouds,20.35,110.1288,Haixing Hotel
419,Alexandria,EG,77.09,clear sky,31.2156,29.9553,Royal Crown Hotel
420,Khiri Mat,TH,77.56,overcast clouds,16.8333,99.8,ปั้นดินรีสอร์ท สุโขทัย
422,Shelburne,CA,75.24,scattered clouds,44.0787,-80.2041,The Retreat at the Farm
423,Santo Antonio,BR,75.7,clear sky,-6.3106,-35.4789,Hotel Onça Puma
425,San Felipe,VE,85.48,scattered clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
427,Broome,US,79.61,overcast clouds,42.2506,-75.833,Chenango Valley State Park
428,Haifa,IL,78.17,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
431,Pishva,IR,88.57,clear sky,35.308,51.7267,شهرک خورشید هشتم
434,Claresholm,CA,84.67,few clouds,50.0333,-113.5852,Bluebird Motel
435,Namatanai,PG,78.67,light rain,-3.6667,152.4333,Seagulls Inn Namatani
442,Navrongo,GH,83.28,light rain,10.8956,-1.0921,Azakka Hotel
446,Tingo Maria,PE,87.1,clear sky,-9.2895,-76.0088,Hospedaje Paraíso
449,Parsabad,IR,81.03,clear sky,39.6482,47.9174,Peacock Hotel Magi
451,Bud,US,86.41,clear sky,39.447,-86.1758,Ted McQuinn Trust
453,Ratangarh,IN,86.99,broken clouds,28.0833,74.6,Hotel Shri Laxmi Palace
455,Champerico,GT,84.06,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
456,Nioro,GM,84.99,overcast clouds,13.35,-15.75,
459,Santiago Del Estero,AR,77.5,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
461,Ambon,ID,78.24,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
463,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
469,Moussoro,TD,86.43,overcast clouds,13.6408,16.4901,Hôtel Salama
