City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Huarmey,PE,2022-07-14 15:46:49,-10.0681,-78.1522,65.84,70,18,10.42
104,Vokhma,RU,2022-07-14 15:46:50,58.9303,46.7586,68.11,85,96,5.86
105,Narsaq,GL,2022-07-14 15:46:51,60.9167,-46.05,59.22,78,100,9.93
106,Asau,RO,2022-07-14 15:46:51,46.4333,26.4,81.52,58,71,1.05
107,Lata,PT,2022-07-14 15:45:11,40.1629,-8.3327,93.49,39,67,9.6
108,Maralal,KE,2022-07-14 15:46:51,1.0968,36.698,67.37,44,88,7.27
109,Dikson,RU,2022-07-14 15:46:52,73.5069,80.5464,42.28,75,9,12.39
110,San Patricio,US,2022-07-14 15:46:52,28.017,-97.5169,91.27,45,2,8.59
111,Khatanga,RU,2022-07-14 15:46:53,71.9667,102.5,42.6,91,100,4.7
112,Orangeburg,US,2022-07-14 15:46:53,33.4918,-80.8557,78.64,83,40,8.05
113,Lompoc,US,2022-07-14 15:46:54,34.6391,-120.4579,61.92,83,100,4.61
114,Santa Maria,BR,2022-07-14 15:43:28,-29.6842,-53.8069,54.7,100,75,8.05
115,Qaqortoq,GL,2022-07-14 15:44:23,60.7167,-46.0333,49.24,75,100,9.82
116,Yar-Sale,RU,2022-07-14 15:46:46,66.8333,70.8333,56.88,63,100,11.1
117,Hasaki,JP,2022-07-14 15:43:16,35.7333,140.8333,73.8,92,100,9.57
118,New Norfolk,AU,2022-07-14 15:46:56,-42.7826,147.0587,45.72,90,41,2.33
119,Avarua,CK,2022-07-14 15:46:56,-21.2078,-159.775,73.45,68,100,6.91
120,Linhares,BR,2022-07-14 15:46:16,-19.3911,-40.0722,78.06,63,61,7.34
121,Flinders,AU,2022-07-14 15:46:18,-34.5833,150.8552,50.18,70,21,7.0
122,Vagay,RU,2022-07-14 15:46:59,57.9375,69.0217,65.71,94,63,2.73
123,Boende,CD,2022-07-14 15:46:59,-0.2167,20.8667,85.33,51,66,4.97
124,Port Hedland,AU,2022-07-14 15:47:00,-20.3167,118.5667,55.45,88,82,5.75
125,San Buenaventura,MX,2022-07-14 15:47:00,27.0833,-101.5333,87.48,39,0,6.91
126,Melilla,ES,2022-07-14 15:47:01,35.2937,-2.9383,88.0,74,0,6.91
127,Monterey,US,2022-07-14 15:47:03,36.2505,-121.2516,85.17,34,1,3.85
128,Bathsheba,BB,2022-07-14 15:47:03,13.2167,-59.5167,87.04,80,75,16.11
129,Port Macquarie,AU,2022-07-14 15:47:04,-31.4333,152.9167,50.9,85,57,12.8
130,West Wendover,US,2022-07-14 15:47:04,40.7391,-114.0733,78.01,44,0,0.0
131,Kaitangata,NZ,2022-07-14 15:47:05,-46.2817,169.8464,38.59,94,95,6.49
132,Tadine,NC,2022-07-14 15:47:06,-21.55,167.8833,69.69,76,100,4.38
133,Saint-Jean-Port-Joli,CA,2022-07-14 15:47:07,47.2171,-70.2658,67.6,91,100,7.34
134,Faya,SA,2022-07-14 15:45:07,18.3851,42.4509,75.31,58,86,6.44
135,Ostrovnoy,RU,2022-07-14 15:47:08,68.0531,39.5131,64.98,87,96,4.97
136,Alugan,PH,2022-07-14 15:48:09,12.2188,125.4808,80.82,82,95,4.74
137,Kahului,US,2022-07-14 15:46:37,20.8947,-156.47,77.85,79,0,14.97
138,Grand Gaube,MU,2022-07-14 15:48:10,-20.0064,57.6608,70.38,70,43,5.99
139,Namibe,AO,2022-07-14 15:48:11,-15.1961,12.1522,66.45,84,19,11.54
140,Bambous Virieux,MU,2022-07-14 15:48:12,-20.3428,57.7575,70.21,73,75,11.5
141,Bethel,US,2022-07-14 15:48:13,41.3712,-73.414,83.73,67,75,4.61
142,Jamame,SO,2022-07-14 15:48:14,0.0722,42.7506,75.43,87,41,13.49
143,Svetlyy,RU,2022-07-14 15:48:15,54.675,20.1347,66.96,65,99,15.37
144,Sao Filipe,CV,2022-07-14 15:48:15,14.8961,-24.4956,76.46,72,16,14.81
145,Abong Mbang,CM,2022-07-14 15:48:15,3.9833,13.1833,75.15,92,38,2.08
146,Bilma,NE,2022-07-14 15:48:16,18.6853,12.9164,106.07,10,11,6.76
147,Meulaboh,ID,2022-07-14 15:48:17,4.1363,96.1285,78.57,88,29,6.17
148,Vaitape,PF,2022-07-14 15:48:17,-16.5167,-151.75,77.29,74,48,25.08
149,Kabwe,ZM,2022-07-14 15:48:18,-14.4469,28.4464,65.61,41,73,5.61
150,Chokurdakh,RU,2022-07-14 15:48:19,70.6333,147.9167,43.25,64,27,7.47
151,Esperance,AU,2022-07-14 15:48:20,-33.8667,121.9,60.19,86,71,15.32
152,Billings,US,2022-07-14 15:46:05,45.7833,-108.5007,81.52,49,20,10.0
153,Sao Joao Da Barra,BR,2022-07-14 15:44:16,-21.6403,-41.0511,78.89,71,2,10.13
154,Inhambane,MZ,2022-07-14 15:48:22,-23.865,35.3833,71.58,60,0,3.44
155,Fairbanks,US,2022-07-14 15:48:22,64.8378,-147.7164,59.22,64,40,5.75
156,Tawang,IN,2022-07-14 15:48:24,27.5833,91.8667,55.96,91,24,3.62
157,Ginda,IN,2022-07-14 15:48:24,30.6945,78.4932,66.7,91,100,2.84
158,Progreso,MX,2022-07-14 15:48:12,21.2833,-89.6667,87.12,55,100,8.93
159,Pouebo,NC,2022-07-14 15:48:25,-20.4,164.5667,67.06,69,40,7.61
160,Lufilufi,WS,2022-07-14 15:48:26,-13.8745,-171.5986,71.38,73,76,23.64
161,Sobolevo,RU,2022-07-14 15:48:26,54.4299,31.8996,63.39,86,52,10.22
162,Saint George,US,2022-07-14 15:47:39,37.1041,-113.5841,94.62,28,0,4.61
163,La Ronge,CA,2022-07-14 15:48:26,55.1001,-105.2842,68.25,40,20,10.36
164,Sistranda,NO,2022-07-14 15:48:27,63.7256,8.834,53.56,73,81,24.34
165,Quesnel,CA,2022-07-14 15:46:54,52.9999,-122.5029,55.9,88,40,4.61
166,Konakovo,RU,2022-07-14 15:48:29,56.7,36.7667,65.52,75,89,3.18
167,Kloulklubed,PW,2022-07-14 15:48:29,7.0419,134.2556,73.9,76,99,6.82
168,Cape Town,ZA,2022-07-14 15:47:00,-33.9258,18.4232,62.11,75,75,5.75
169,Hofn,IS,2022-07-14 15:46:09,64.2539,-15.2082,60.82,44,20,25.32
170,Aja,EG,2022-07-14 15:48:31,30.9415,31.2915,82.08,44,0,15.32
171,Mount Isa,AU,2022-07-14 15:48:31,-20.7333,139.5,51.57,35,15,8.05
172,Kutum,SD,2022-07-14 15:48:31,14.2,24.6667,84.52,38,84,9.55
173,Kununurra,AU,2022-07-14 15:44:40,-15.7667,128.7333,53.58,54,59,4.61
174,Rawson,AR,2022-07-14 15:48:33,-43.3002,-65.1023,47.35,56,100,14.56
175,Kamennogorsk,RU,2022-07-14 15:48:33,60.9545,29.1339,60.3,61,71,9.46
176,Viedma,AR,2022-07-14 15:48:34,-40.8135,-62.9967,51.98,63,100,19.95
177,Bisho,ZA,2022-07-14 15:48:35,-32.8472,27.4422,57.83,80,93,7.4
178,Manokwari,ID,2022-07-14 15:48:35,-0.8667,134.0833,77.7,82,63,3.29
179,Eydhafushi,MV,2022-07-14 15:48:36,5.1033,73.0708,83.34,77,42,15.68
180,Severo-Kurilsk,RU,2022-07-14 15:48:37,50.6789,156.125,52.34,97,84,7.43
181,Burgeo,CA,2022-07-14 15:48:37,47.6167,-57.6152,66.27,66,42,8.63
182,Roma,US,2022-07-14 15:48:03,43.2128,-75.4557,75.96,64,20,8.99
183,Erenhot,CN,2022-07-14 15:49:39,43.6475,111.9767,79.5,21,59,4.56
184,Taoudenni,ML,2022-07-14 15:49:40,22.6783,-3.9836,116.19,6,43,11.88
185,Waipawa,NZ,2022-07-14 15:49:41,-41.4122,175.5153,45.36,75,100,9.08
186,Salalah,OM,2022-07-14 15:49:41,17.0151,54.0924,78.89,94,75,8.05
187,Takaka,NZ,2022-07-14 15:49:42,-40.85,172.8,49.55,87,100,2.01
188,Bandarbeyla,SO,2022-07-14 15:49:42,9.4942,50.8122,78.76,79,79,32.91
189,Bredasdorp,ZA,2022-07-14 15:48:52,-34.5322,20.0403,53.58,80,71,5.7
190,Lebork,PL,2022-07-14 15:49:43,54.5392,17.7501,65.75,61,99,13.89
191,Payo,ID,2022-07-14 15:45:40,-3.7508,103.6372,73.36,99,50,2.86
192,Biak,ID,2022-07-14 15:49:44,-0.9131,122.8766,74.35,92,100,5.66
193,Rodrigues Alves,BR,2022-07-14 15:49:44,-7.738,-72.6509,82.6,52,76,3.85
194,Eureka,US,2022-07-14 15:49:45,40.8021,-124.1637,57.2,86,97,4.0
